         Source name  Orientation      lcen     bcen    V_LSR    Distance  Length  Width  Velocity width       Mass   N(H2)_max   N(H2)_ave    Parameter p
                            (deg)     (deg)    (deg) (km s−1)       (kpc)    (pc)   (pc)        (km s−1)    (M_sun)      (cm-2)      (cm-2)

G132.550-1.442-46.09       -50.32   132.550   -1.442   -46.09   2.39±0.11    2.92   0.90            1.41      10.47    3.82e+21    6.07e+20          0.286
G121.333-0.442-39.41       -30.31   121.333   -0.442   -39.41   2.54±0.31    6.19   1.93            2.03      98.31    6.97e+21    5.48e+20          0.230
G149.400+4.325-10.35       -48.05   149.400    4.325   -10.35   0.51±0.13    0.60   0.20            1.15       0.24    1.95e+21    3.39e+20          0.017
G141.125+0.167-45.42       -23.14   141.125    0.167   -45.42   2.07±0.23    2.19   0.75            0.83       3.93    1.85e+21    2.13e+20          0.035
G114.808-4.042-45.09        37.18   114.808   -4.042   -45.09   3.25±0.95    4.39   1.45            1.03      25.23    3.89e+21    7.18e+20          0.159
G143.233+1.242-33.57       -29.91   143.233    1.242   -33.57   2.06±0.25    4.45   1.26            3.20      22.11    4.01e+21    4.62e+20          0.229
G131.033-0.617-17.87        43.56   131.033   -0.617   -17.87   1.85±0.78    3.81   0.99            1.22       6.67    2.33e+21    3.43e+20          0.127
G121.150-0.033-36.07       -39.29   121.150   -0.033   -36.07   2.60±0.68    3.11   1.09            1.16       6.69    2.40e+21    4.09e+20          0.543
G118.842-1.658-23.71       -45.44   118.842   -1.658   -23.71   2.40±0.93    3.90   1.39            3.41      14.27    4.89e+21    5.16e+20          0.068
G144.825+0.092-15.53       -30.92   144.825    0.092   -15.53   1.94±0.38    3.91   1.18            1.13      14.25    3.64e+21    4.47e+20          0.490
G107.958+5.158+00.17       -56.89   107.958    5.158     0.17   0.78±0.09    1.71   0.41            0.98       1.80    2.83e+21    2.63e+20          0.661
G149.092+3.208-09.69       -56.40   149.092    3.208    -9.69   0.51±0.13    2.44   0.64            2.87       8.03    5.34e+21    4.58e+20          0.463
G121.900+1.558-02.34       -50.81   121.900    1.558    -2.34   0.39±0.07    0.48   0.19            1.38       0.29    2.67e+21    3.44e+20          0.209
G116.858+4.842-13.19        21.61   116.858    4.842   -13.19   0.75±0.08    1.82   0.41            1.05       2.83    2.19e+21    1.66e+20          0.185
G125.117+1.600-81.50        56.11   125.117    1.600   -81.50   5.59±0.51   12.22   3.06            1.58     187.76    6.83e+21    4.58e+20          0.406
G123.142-0.658+04.01        38.43   123.142   -0.658     4.01   0.06±0.16    0.11   0.03            0.99       0.01    3.41e+21    4.17e+20          0.543
G117.058+2.208-51.77        47.27   117.058    2.208   -51.77   2.65±0.31    5.80   1.85            0.85      44.45    6.93e+21    7.39e+20          0.388
G117.058+3.567-18.20        30.00   117.058    3.567   -18.20   1.49±1.01    4.83   1.08            1.91      27.36    6.36e+21    6.96e+20          0.209
G122.675-0.642-39.08       -52.98   122.675   -0.642   -39.08   2.53±0.27    6.32   1.56            1.43      29.79    4.03e+21    3.50e+20          0.511
G141.400-3.150-02.67       -23.45   141.400   -3.150    -2.67   0.28±0.01    0.47   0.18            1.49       0.27    1.92e+21    1.92e+20          0.470
G107.417+3.292-07.18        12.44   107.417    3.292    -7.18   0.80±0.10    1.31   0.47            1.00       2.63    5.58e+21    4.63e+20          1.168
G129.583-0.683-45.59        29.55   129.583   -0.683   -45.59   1.96±0.04    4.29   1.09            0.96      21.43    5.04e+21    5.93e+20          0.222
G127.883-1.850-07.18       -61.52   127.883   -1.850    -7.18   0.56±0.16    0.51   0.20            0.84       0.28    2.09e+21    2.47e+20          0.526
G113.425-3.442-07.68        60.61   113.425   -3.442    -7.68   0.74±0.08    1.46   0.47            1.23       2.53    3.78e+21    5.45e+20          0.444
G106.492+0.858-44.92       -63.87   106.492    0.858   -44.92   3.02±0.28    3.64   1.10            1.37      14.42    4.65e+21    4.02e+20          0.580
G115.400-4.492-06.85       -37.44   115.400   -4.492    -6.85   0.72±0.07    1.56   0.48            1.16       2.70    3.91e+21    4.31e+20          0.481
G127.692-0.383-46.93       -36.49   127.692   -0.383   -46.93   2.40±0.27    7.04   1.81            2.24      50.95    5.43e+21    6.74e+20          0.397
G139.433+3.492-08.02       -65.09   139.433    3.492    -8.02   0.53±0.14    1.26   0.42            0.75       1.99    3.51e+21    4.43e+20          0.117
G108.567-0.575-08.52        43.72   108.567   -0.575    -8.52   0.77±0.09    2.55   0.65            3.27       7.36    9.10e+21    6.69e+20          0.656
G113.350+1.000-11.36       -39.40   113.350    1.000   -11.36   0.77±0.08    1.24   0.37            1.76       1.03    2.61e+21    3.13e+20          0.686
G126.825+1.492-11.52        48.55   126.825    1.492   -11.52   0.84±1.99    3.12   0.92            1.49       9.44    3.99e+21    3.89e+20          0.307
