         Source name  Orientation      lcen     bcen    V_LSR    Distance  Length  Width  Velocity width       Mass   N(H2)_max   N(H2)_ave    Parameter p
                            (deg)     (deg)    (deg) (km s−1)       (kpc)    (pc)   (pc)        (km s−1)    (M_sun)      (cm-2)      (cm-2)

G139.017+3.133-04.84       -41.20   139.017    3.133    -4.84   0.50±0.16    1.29   0.32            1.00       0.97    2.27e+21    1.72e+20          0.440
G122.017-2.942-22.21       -21.37   122.017   -2.942   -22.21   2.29±0.88    6.88   1.96            1.43      40.54    4.16e+21    4.26e+20          0.335
G119.742+0.408-34.07        23.19   119.742    0.408   -34.07   2.63±0.90    2.87   1.01            1.15      10.32    3.54e+21    3.97e+20          0.536
G112.650+3.725-73.48        29.31   112.650    3.725   -73.48   6.68±0.83   16.16   5.35            1.52     459.33    4.57e+21    5.21e+20          0.210
G110.358+3.008-15.53       -55.12   110.358    3.008   -15.53   0.81±0.10    1.01   0.34            1.08       0.73    2.35e+21    3.08e+20          0.096
G146.500-4.008-07.35       -30.41   146.500   -4.008    -7.35   0.46±0.17    0.49   0.16            0.69       0.11    1.28e+21    1.73e+20          0.164
G140.342-3.192-17.37        48.15   140.342   -3.192   -17.37   1.72±0.69    1.38   0.58            0.85       1.85    1.71e+21    2.58e+20          0.073
G105.758+2.250-04.17       -36.71   105.758    2.250    -4.17   0.78±0.10    1.62   0.54            1.09       4.00    3.67e+21    3.30e+20          0.182
G108.742-4.667-49.10       -49.42   108.742   -4.667   -49.10   3.22±0.10    4.20   1.42            0.82      10.48    2.17e+21    2.74e+20          0.462
G122.058+0.633-52.77       -37.06   122.058    0.633   -52.77   2.52±0.28    8.73   1.84            1.43      69.38    5.40e+21    3.94e+20          0.447
G139.600+3.242-04.51       -70.72   139.600    3.242    -4.51   0.50±0.16    0.98   0.23            2.97       0.56    3.93e+21    3.19e+20          0.352
G107.642-0.183-49.10       -23.33   107.642   -0.183   -49.10   2.95±0.30   12.58   3.32            2.08     383.25    2.14e+22    1.56e+21          1.200
G114.308-0.833-50.77        51.28   114.308   -0.833   -50.77   2.71±0.17    2.95   1.19            1.64      13.63    4.01e+21    6.14e+20          0.131
G118.508-2.767-40.91       -17.77   118.508   -2.767   -40.91   2.65±0.31    6.48   1.24            1.06      40.68    6.24e+21    6.90e+20          0.843
G111.058+3.092-57.95       -35.42   111.058    3.092   -57.95   2.65±0.13    2.75   1.21            1.18      11.81    4.22e+21    4.14e+20          0.840
G123.025-1.275-10.02       -42.30   123.025   -1.275   -10.02   0.99±2.24    6.38   1.46            1.67      73.56    1.03e+22    9.77e+20          0.005
G142.850-2.008-03.34        64.27   142.850   -2.008    -3.34   0.45±0.17    0.80   0.24            0.66       0.30    1.47e+21    2.56e+20          0.426
G117.525+4.075-31.40       -36.51   117.525    4.075   -31.40   2.58±0.90    8.97   1.82            1.90     111.02    1.15e+22    8.76e+20          0.323
G132.642+0.892-24.88        52.35   132.642    0.892   -24.88   2.42±0.11    2.17   0.84            1.09       3.06    1.49e+21    2.16e+20          0.407
G130.283-0.225-15.20        40.40   130.283   -0.225   -15.20   0.93±0.03    1.15   0.39            0.87       0.95    1.52e+21    1.57e+20          0.480
G118.633-1.892-33.73        60.21   118.633   -1.892   -33.73   2.67±0.87    9.45   2.07            1.94     139.89    9.12e+21    5.69e+20          0.088
G105.633+2.183-04.17       -29.80   105.633    2.183    -4.17   0.78±0.10    1.22   0.31            0.85       1.19    3.22e+21    3.89e+20          0.301
G135.625+4.267-08.85       -57.50   135.625    4.267    -8.85   0.55±0.14    1.12   0.33            1.68       1.07    2.66e+21    2.83e+20          0.581
G135.450+0.717-58.78       -31.04   135.450    0.717   -58.78   1.96±0.04    3.58   0.91            0.83       6.66    2.31e+21    3.44e+20          0.495
G118.850-3.967-06.68       -39.37   118.850   -3.967    -6.68   0.70±0.04    1.75   0.40            1.84       3.19    6.11e+21    5.71e+20          0.252
G105.875+1.450-49.77        49.36   105.875    1.450   -49.77   2.96±0.26    3.29   1.39            1.20      15.38    3.97e+21    4.32e+20          0.381
G137.792+1.042-05.68        43.34   137.792    1.042    -5.68   0.49±0.17    1.33   0.36            1.26       1.60    3.17e+21    2.74e+20          0.143
G113.425-1.733-11.36       -40.43   113.425   -1.733   -11.36   0.76±0.08    1.12   0.33            0.80       0.98    2.55e+21    4.23e+20          0.207
G132.425-1.608-46.26       -49.30   132.425   -1.608   -46.26   2.39±0.11    2.94   0.85            0.82       4.95    1.61e+21    1.80e+20          0.121
G132.358-2.175-15.53       -40.09   132.358   -2.175   -15.53   1.43±0.73    4.49   1.48            2.44      38.41    1.15e+22    1.28e+21          0.022
G111.058-2.592-19.37        59.87   111.058   -2.592   -19.37   2.51±0.79    3.32   1.02            1.09       9.54    2.43e+21    2.51e+20          0.099
G131.650+4.158-06.01        21.88   131.650    4.158    -6.01   0.54±0.16    1.33   0.33            0.75       0.91    2.21e+21    1.71e+20          0.457
G133.242+1.992-41.75       -71.41   133.242    1.992   -41.75   1.96±0.04    5.96   1.44            1.38      86.21    1.30e+22    8.21e+20          0.149
G107.750+2.342-10.35       -26.71   107.750    2.342   -10.35   0.80±0.10    0.76   0.27            0.76       0.66    1.92e+21    2.94e+20          0.007
G127.642+1.533-11.69        41.63   127.642    1.533   -11.69   0.85±1.51    3.17   0.75            1.75       8.18    4.88e+21    3.12e+20          0.132
G118.067+3.675-38.58       -57.99   118.067    3.675   -38.58   2.78±1.00   11.82   2.70            1.52     371.71    1.42e+22    1.23e+21          1.311
G127.608+0.483-50.27        54.75   127.608    0.483   -50.27   2.38±0.28    6.71   2.09            2.91      56.12    4.99e+21    4.01e+20          0.594
G114.883-0.425-09.35        31.71   114.883   -0.425    -9.35   0.75±0.08    1.67   0.54            2.07       5.37    9.77e+21    1.28e+21          0.066
G108.775+2.000+00.33        48.99   108.775    2.000     0.33   0.77±0.09    1.06   0.33            0.94       0.85    1.52e+21    2.56e+20          0.055
G144.567+2.067-11.86       -61.94   144.567    2.067   -11.86   0.95±1.47    3.07   0.88            1.36      14.18    6.29e+21    6.32e+20          0.182
G144.133+5.017-15.53       -48.60   144.133    5.017   -15.53   1.45±0.58    4.12   0.89            1.25      25.40    6.18e+21    4.14e+20          0.309
G110.708+2.117+00.83       -13.23   110.708    2.117     0.83   0.76±0.08    1.66   0.46            1.84       2.18    3.97e+21    5.43e+20          0.273
G109.358-0.717-58.12       -60.20   109.358   -0.717   -58.12   2.73±0.20    4.93   1.31            1.30      24.55    3.75e+21    4.71e+20          0.189
G110.425-1.333-53.94        65.62   110.425   -1.333   -53.94   2.71±0.15    4.22   1.23            1.75      38.95    7.90e+21    6.39e+20          0.814
G139.475+1.575-36.91        61.36   139.475    1.575   -36.91   2.12±0.27    8.04   1.81            1.70     200.41    1.54e+22    8.57e+20          0.062
G139.158-3.417-17.87        14.58   139.158   -3.417   -17.87   1.74±0.69    4.54   1.49            1.10      12.95    2.43e+21    4.82e+20          0.048
G127.567+0.417-14.03       -48.93   127.567    0.417   -14.03   1.26±1.06    2.30   0.72            1.41       8.06    7.66e+21    8.99e+20          0.473
G135.025-3.433-08.85       -45.09   135.025   -3.433    -8.85   0.26±0.03    0.39   0.15            1.83       0.42    5.42e+21    3.86e+20          0.021
G130.883+2.292-65.30        26.84   130.883    2.292   -65.30   5.61±0.75   12.86   3.18            1.35     154.00    4.81e+21    4.73e+20          0.400
G110.775+2.867-12.36        39.98   110.775    2.867   -12.36   0.73±0.08    0.78   0.27            1.44       0.31    1.94e+21    2.41e+20          0.509
G142.933-1.375-12.19        42.04   142.933   -1.375   -12.19   1.37±0.71    2.23   0.58            1.19       2.31    2.41e+21    3.06e+20          0.318
G123.675-4.175-28.56       -63.21   123.675   -4.175   -28.56   2.42±0.22    2.75   0.89            1.57       5.10    2.68e+21    2.40e+20          0.653
G122.717+2.583-11.52       -61.27   122.717    2.583   -11.52   0.69±3.02    1.38   0.25            1.92       0.75    1.81e+21    1.75e+20          0.520
G124.442+2.967-59.95        58.40   124.442    2.967   -59.95   5.23±0.80    6.20   1.86            1.12      23.70    2.21e+21    3.58e+20          0.231
G106.017+3.292-67.30       -23.25   106.017    3.292   -67.30   6.39±0.78    9.41   3.73            1.70     154.21    5.44e+21    6.01e+20          0.232
G113.692-1.983-58.78        23.27   113.692   -1.983   -58.78   2.68±0.12    5.07   1.52            4.18      28.95    4.30e+21    4.51e+20          0.164
G123.167+4.075-69.81       -35.62   123.167    4.075   -69.81   6.23±0.89   11.42   3.79            1.41     161.68    4.36e+21    3.84e+20          0.125
G118.542+0.617-42.92       -54.69   118.542    0.617   -42.92   2.65±0.30    3.92   1.25            1.13      14.78    4.18e+21    4.47e+20          0.105
G122.667+0.642-00.33        70.70   122.667    0.642    -0.33   0.69±1.72    1.19   0.33            0.99       0.77    2.10e+21    2.24e+20          0.611
G111.158+3.275-11.86       -58.03   111.158    3.275   -11.86   0.79±0.09    1.15   0.35            1.55       0.59    1.59e+21    2.34e+20          0.028
G142.767-0.367-42.42        16.39   142.767   -0.367   -42.42   2.06±0.21    3.99   1.40            2.00      27.82    3.72e+21    4.21e+20          0.225
G110.900-4.333-20.54        83.26   110.900   -4.333   -20.54   2.52±0.78    4.33   1.26            2.37      53.03    7.02e+21    1.04e+21          0.221
G144.642-1.275-12.19        21.17   144.642   -1.275   -12.19   1.32±1.32    2.61   0.79            1.19       5.29    2.22e+21    3.07e+20          0.568
G149.033-3.508-13.36        22.43   149.033   -3.508   -13.36   1.73±0.56    4.58   0.94            1.98      25.11    7.41e+21    5.55e+20          0.005
G105.950+2.625-09.52        21.21   105.950    2.625    -9.52   0.81±0.11    1.39   0.43            1.24       1.86    3.28e+21    3.84e+20          0.027
G110.692-3.617-05.34        55.79   110.692   -3.617    -5.34   0.74±0.09    1.55   0.40            0.67       1.20    1.61e+21    1.91e+20          0.100
G132.508-0.133+00.17       -30.43   132.508   -0.133     0.17   0.25±0.03    0.40   0.13            1.08       0.09    1.55e+21    2.01e+20          0.082
G119.517-2.767-23.55       -39.23   119.517   -2.767   -23.55   2.41±0.94    2.66   0.91            2.86      13.87    4.15e+21    3.91e+20          0.020
G118.542-0.933-51.27        50.82   118.542   -0.933   -51.27   2.67±0.28    6.12   1.93            1.41      47.42    5.07e+21    6.19e+20          0.172
G111.950+3.792-15.53        38.45   111.950    3.792   -15.53   0.81±0.10    1.51   0.45            1.24       2.53    3.68e+21    3.18e+20          0.280
G140.775+0.200-40.91        54.44   140.775    0.200   -40.91   2.10±0.24    3.67   1.18            1.12      23.70    7.62e+21    9.52e+20          0.812
G133.200+1.600-73.98        47.80   133.200    1.600   -73.98   5.31±0.53    9.64   2.90            1.07     110.89    3.99e+21    5.63e+20          0.015
G143.933+2.700+00.83        32.99   143.933    2.700     0.83   0.43±0.18    1.49   0.36            0.75       1.46    2.10e+21    2.13e+20          0.345
G134.792-2.467-02.00       -48.09   134.792   -2.467    -2.00   0.26±0.03    1.00   0.25            1.03       0.89    3.16e+21    1.82e+20          0.483
